,tweet_id,favorites,retweet_count
703,684914660081053696,3766,1618
704,684926975086034944,3771,530
705,684940049151070208,3454,1158
706,684959798585110529,7169,3458
707,685169283572338688,4406,1582
708,685198997565345792,2503,739
709,685268753634967552,3343,1337
710,685307451701334016,2220,487
711,685315239903100929,3598,1195
712,685321586178670592,2854,716
713,685325112850124800,10237,4423
714,685532292383666176,3270,1274
715,685547936038666240,35498,17331
716,685641971164143616,3152,858
717,685663452032069632,3491,1615
718,685667379192414208,2516,641
719,685906723014619143,8100,3220
720,685943807276412928,1762,679
721,685973236358713344,2272,591
722,686003207160610816,1957,709
723,686007916130873345,2655,463
724,686034024800862208,3351,1300
725,686050296934563840,2372,816
726,686358356425093120,2360,755
727,686377065986265092,2382,625
728,686386521809772549,3491,980
729,686606069955735556,2028,597
730,686618349602762752,3961,1504
731,686683045143953408,3013,888
732,686730991906516992,4462,1320
733,686749460672679938,3745,1621
734,686947101016735744,9257,3503
735,687096057537363968,2407,675
736,687102708889812993,2516,1097
737,687109925361856513,6237,2734
738,687124485711986689,2325,559
739,687127927494963200,5883,2527
740,687312378585812992,4678,2099
741,687317306314240000,21655,10130
742,687460506001633280,2194,598
743,687476254459715584,2130,598
744,687480748861947905,1718,276
745,687494652870668288,2060,637
746,687664829264453632,2085,569
747,687704180304273409,2621,934
748,687807801670897665,2568,772
749,687818504314159109,2697,1062
750,687826841265172480,2929,1256
751,688064179421470721,1843,401
752,688116655151435777,3031,868
753,688179443353796608,2274,650
754,688211956440801280,2386,926
755,688385280030670848,10013,4915
756,688519176466644993,2473,804
757,688547210804498433,2801,773
758,688789766343622656,2382,733
759,688804835492233216,1027,218
760,688828561667567616,1475,409
761,688894073864884227,2401,773
762,688898160958271489,2262,870
763,688908934925697024,2271,853
764,688916208532455424,2935,960
765,689143371370250240,2185,573
766,689154315265683456,3295,1108
767,689275259254616065,1245,275
768,689280876073582592,2151,794
769,689283819090870273,3539,1221
770,689289219123089408,2423,1025
771,689517482558820352,3649,1574
772,689557536375177216,2212,509
773,689599056876867584,12524,6093
774,689623661272240129,2409,722
775,689659372465688576,11199,4305
776,689661964914655233,3432,1020
777,689835978131935233,2325,834
778,689877686181715968,3237,1309
779,689905486972461056,2604,768
780,689977555533848577,1464,491
781,689999384604450816,1530,414
782,690005060500217858,3927,1864
783,690015576308211712,2688,814
784,690021994562220032,2998,1145
785,690248561355657216,1809,457
786,690360449368465409,2861,981
787,690374419777196032,3491,955
788,690400367696297985,2002,498
789,690597161306841088,2109,665
790,690649993829576704,1406,311
791,690690673629138944,2488,874
792,690728923253055490,2328,577
793,690735892932222976,4055,1415
794,690932576555528194,3534,1120
795,690938899477221376,4452,2200
796,690959652130045952,3842,1387
797,691090071332753408,1834,377
798,691096613310316544,3190,991
799,691321916024623104,2778,730
800,691416866452082688,20843,8439
801,691444869282295808,2848,937
802,691459709405118465,4363,1265
803,691483041324204033,2550,634
804,691675652215414786,2078,563
805,691756958957883396,3112,1133
806,691820333922455552,4238,1812
807,692017291282812928,3083,1060
808,692142790915014657,1762,430
809,692158366030913536,2312,882
810,692187005137076224,2706,907
811,692417313023332352,10075,3822
812,692530551048294401,1983,464
813,692535307825213440,3437,1497
814,692568918515392513,4653,1690
815,692752401762250755,7343,4019
816,692828166163931137,3089,966
817,692894228850999298,2453,887
818,692901601640583168,1929,666
819,692905862751522816,2622,973
820,692919143163629568,2869,821
821,693095443459342336,2012,509
822,693109034023534592,1846,672
823,693155686491000832,8492,3535
824,693231807727280129,3072,811
825,693262851218264065,2395,554
826,693280720173801472,3607,1368
827,693486665285931008,1903,686
828,693590843962331137,5455,2166
829,693622659251335168,1655,408
830,693629975228977152,2632,881
831,693642232151285760,2731,459
832,693647888581312512,2901,653
833,693942351086120961,1858,407
834,694001791655137281,3634,1144
835,694183373896572928,3166,1024
836,694206574471057408,4501,2249
837,694329668942569472,2161,552
838,694352839993344000,2193,684
839,694356675654983680,1620,320
840,694669722378485760,38279,15909
841,694905863685980160,2979,1034
842,695051054296211456,2861,867
843,695064344191721472,1727,664
844,695074328191332352,3054,1212
845,695095422348574720,2830,675
846,695314793360662529,3923,1629
847,695409464418041856,9256,3925
848,695446424020918272,4678,1991
849,695629776980148225,4917,2329
850,695767669421768709,2014,821
851,695794761660297217,3421,858
852,695816827381944320,3227,1288
853,696405997980676096,3457,1254
854,696488710901260288,2732,1138
855,696713835009417216,2557,725
856,696754882863349760,1580,390
857,696877980375769088,2629,785
858,696886256886657024,5191,1975
859,696894894812565505,2528,743
860,696900204696625153,3437,1130
861,697242256848379904,2702,737
862,697255105972801536,3248,1279
863,697259378236399616,3538,1101
864,697270446429966336,5018,2045
865,697463031882764288,3672,1517
866,697482927769255936,2604,748
867,697575480820686848,2201,556
868,697596423848730625,3256,1386
869,697616773278015490,3392,1117
870,697881462549430272,3246,1305
871,697943111201378304,2580,758
872,697990423684476929,3532,1423
873,697995514407682048,1635,365
874,698178924120031232,3020,812
875,698195409219559425,18037,6581
876,698262614669991936,5109,2219
877,698342080612007937,2436,1047
878,698355670425473025,2007,497
879,698549713696649216,2492,684
880,698635131305795584,1377,375
881,698703483621523456,1563,416
882,698710712454139905,2660,755
883,698907974262222848,2733,681
884,698953797952008193,2910,991
885,698989035503689728,3643,1084
886,699036661657767936,2808,1318
887,699072405256409088,3233,1304
888,699079609774645248,2627,721
889,699088579889332224,2400,696
890,699323444782047232,3394,957
891,699370870310113280,2016,484
892,699413908797464576,2215,680
893,699423671849451520,1472,367
894,699434518667751424,2333,562
895,699446877801091073,6381,2876
896,699691744225525762,11026,5057
897,699775878809702401,2104,671
898,699779630832685056,2979,1367
899,699788877217865730,2417,543
900,699801817392291840,3275,1065
901,700002074055016451,3551,1483
902,700029284593901568,2220,640
903,700062718104104960,2838,763
904,700143752053182464,8112,3042
905,700151421916807169,2410,731
906,700167517596164096,2849,821
907,700462010979500032,4457,1983
908,700505138482569216,2445,628
909,700518061187723268,2830,881
910,700747788515020802,24601,10345
911,700796979434098688,2618,1055
912,700847567345688576,2607,549
913,700864154249383937,2783,672
914,700890391244103680,2390,635
915,701214700881756160,13177,5659
916,701545186879471618,2843,667
917,701570477911896070,3026,1030
918,701601587219795968,2242,509
919,701889187134500865,3829,1517
920,701952816642965504,4100,1122
921,701981390485725185,3694,1087
922,702217446468493312,5169,1477
923,702276748847800320,2656,839
924,702321140488925184,3539,1138
925,702539513671897089,3080,1060
926,702598099714314240,11116,3619
927,702671118226825216,2350,618
928,702684942141153280,3455,1187
929,702932127499816960,2782,799
930,703041949650034688,28422,13817
931,703079050210877440,7930,3399
932,703268521220972544,2109,610
933,703356393781329922,2046,424
934,703382836347330562,3765,1258
935,703407252292673536,2644,764
936,703425003149250560,4087,1522
937,703611486317502464,4146,1671
938,703631701117943808,2786,759
939,703769065844768768,3541,1249
940,703774238772166656,1980,514
941,704054845121142784,3140,1007
942,704113298707505153,1994,618
943,704347321748819968,1697,386
944,704364645503647744,8640,3908
945,704480331685040129,3651,1165
946,704499785726889984,3152,1098
947,704761120771465216,7138,3187
948,704819833553219584,2838,1112
949,704847917308362754,5493,1694
